trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'e': 0.3974759573578202, 'a': 0.8}",25,6,-18.72451972671884,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
137,False,"{'e': 0.3920800353925334, 'a': 0.8}",20,0,-26.658142426359237,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
138,False,"{'e': 0.38671849712990475, 'a': 0.8}",30,14,14.492974706266681,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'e': 0.3813919426693259, 'a': 0.8}",20,8,-21.424637898876483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'e': 0.3761009533997224, 'a': 0.8}",20,5,22.878877799790622,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.3708460920251622, 'a': 0.8}",25,17,2.8189625111349357,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'e': 0.3656279025994346, 'a': 0.8}",30,11,-51.76610269436595,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
143,False,"{'e': 0.36044691056945294, 'a': 0.8}",20,9,0.2562972124186953,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'e': 0.3553036228273326, 'a': 0.8}",25,11,-9.730125698575817,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,False,"{'e': 0.35019852777099103, 'a': 0.8}",25,2,-25.521692994305443,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
146,False,"{'e': 0.3451320953731128, 'a': 0.8}",20,1,-35.31242739635066,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
147,False,"{'e': 0.3401047772583182, 'a': 0.8}",20,6,14.350146697571047,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'e': 0.3351170067883733, 'a': 0.8}",30,19,14.854276322011508,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'e': 0.3301691991552713, 'a': 0.8}",30,14,-37.48473584436217,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
150,False,"{'e': 0.3252617514820178, 'a': 0.8}",25,3,-3.978048586962773,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
